                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2064,                 3.7655,                 2.0008,                0.00531,                0.74287,                0.10894,                 0.0489,                 1.8597,                 3.6201,                 1.8425,             0.00025005,             0.00025005,             0.00025005
                      1,                 1.7622,                 2.8346,                 1.5855,                 0.0054,                0.75623,                0.05475,                0.01407,                 2.2188,                  3.654,                 2.2656,             0.00050654,             0.00050654,             0.00050654
                      2,                 1.7026,                 2.7858,                 1.5791,                0.00491,                0.68207,                 0.0801,                0.02906,                 1.8597,                 3.2988,                 1.8501,             0.00075246,             0.00075246,             0.00075246
                      3,                 1.6618,                 2.6815,                 1.5826,                0.31599,                0.28838,                0.22124,                0.10509,                 1.8184,                  2.741,                 1.6669,             0.00098783,             0.00098783,             0.00098783
                      4,                 1.5995,                 2.5319,                 1.5082,                0.27831,                0.25104,                0.20978,                0.09708,                 1.8762,                 2.8565,                  1.751,              0.0012126,              0.0012126,              0.0012126
                      5,                 1.6299,                 2.4044,                 1.4739,                0.33098,                0.33288,                  0.201,                  0.096,                 1.9586,                   2.92,                  1.756,              0.0014269,              0.0014269,              0.0014269
                      6,                 1.6192,                 2.3643,                  1.493,                0.30498,                0.25984,                0.17786,                 0.0745,                 2.1229,                 3.1805,                 2.1278,               0.001469,               0.001469,               0.001469
                      7,                 1.5658,                 2.1803,                  1.441,                0.34481,                0.31001,                0.21233,                0.09047,                 1.8607,                 2.8456,                 1.7286,               0.001469,               0.001469,               0.001469
                      8,                  1.542,                 2.0626,                 1.4046,                 0.3601,                0.39198,                0.30851,                0.14654,                 1.8009,                 2.7304,                 1.6047,               0.001436,               0.001436,               0.001436
                      9,                 1.5332,                 2.0264,                 1.3988,                0.53297,                0.49163,                0.47067,                0.24381,                 1.6537,                 2.3665,                 1.5685,              0.0014029,              0.0014029,              0.0014029
                     10,                  1.439,                 1.9117,                 1.3422,                0.21076,                0.57654,                0.34685,                0.19461,                 1.6565,                 3.5161,                 1.5301,              0.0013699,              0.0013699,              0.0013699
                     11,                  1.446,                 1.8675,                 1.3374,                0.55173,                0.44837,                 0.4823,                0.28648,                  1.529,                 2.3515,                 1.3817,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.4648,                 1.7836,                 1.3653,                0.46877,                0.44101,                0.38299,                0.23775,                 1.5121,                 2.5244,                  1.398,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.3947,                 1.8298,                 1.3378,                0.42417,                0.50206,                0.43887,                0.25192,                 1.5132,                 2.2384,                 1.4127,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.4263,                 1.7014,                 1.3505,                0.57483,                0.39746,                0.42708,                0.20111,                 1.5839,                 2.4637,                 1.4963,              0.0012379,              0.0012379,              0.0012379
                     15,                 1.3407,                 1.6745,                 1.2823,                0.55674,                0.61242,                 0.6452,                0.39243,                 1.3337,                 1.6741,                 1.3149,              0.0012049,              0.0012049,              0.0012049
                     16,                 1.2872,                 1.5647,                 1.2595,                0.71066,                0.58163,                0.63141,                0.35307,                 1.3889,                 1.6229,                 1.3572,              0.0011719,              0.0011719,              0.0011719
                     17,                  1.264,                 1.5115,                 1.2553,                0.75216,                0.63632,                0.69872,                0.42647,                 1.3007,                  1.434,                 1.2733,              0.0011389,              0.0011389,              0.0011389
                     18,                 1.1795,                 1.4249,                 1.1933,                0.67485,                0.61397,                0.65118,                 0.3855,                 1.3147,                 1.6426,                 1.2911,              0.0011059,              0.0011059,              0.0011059
                     19,                 1.2472,                 1.4398,                 1.2182,                0.69963,                 0.5985,                0.66784,                 0.3954,                 1.3478,                   1.52,                 1.2841,              0.0010729,              0.0010729,              0.0010729
                     20,                 1.2241,                 1.3544,                 1.2128,                0.64826,                0.65308,                0.67416,                0.40649,                 1.3252,                  1.546,                 1.2874,              0.0010399,              0.0010399,              0.0010399
                     21,                 1.1809,                 1.3663,                 1.1858,                0.75085,                0.64735,                0.71361,                0.45168,                 1.2736,                 1.3943,                 1.2742,              0.0010069,              0.0010069,              0.0010069
                     22,                 1.2144,                 1.3828,                 1.2165,                0.77526,                0.71699,                0.79901,                0.51675,                 1.1426,                 1.2855,                 1.1542,             0.00097386,             0.00097386,             0.00097386
                     23,                 1.1276,                 1.3235,                 1.1662,                0.73502,                 0.7384,                0.76219,                0.49729,                 1.2204,                 1.2804,                 1.1916,             0.00094085,             0.00094085,             0.00094085
