                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2094,                 3.7829,                 2.0063,                 0.0054,                0.75068,                 0.1385,                0.07042,                  1.817,                 3.4895,                 1.7627,             0.00025005,             0.00025005,             0.00025005
                      1,                 1.7529,                 2.8628,                 1.6006,                0.00531,                 0.7423,                0.11717,                0.05933,                  2.143,                 3.4922,                 2.0398,             0.00051165,             0.00051165,             0.00051165
                      2,                 1.7261,                 2.7793,                 1.5886,                0.21355,                0.17844,                0.10659,                0.04398,                 2.4109,                  3.508,                 2.4785,             0.00076798,             0.00076798,             0.00076798
                      3,                 1.7313,                 2.7011,                  1.602,                0.15365,                 0.0368,                0.03435,                0.00876,                 2.6353,                 4.0859,                 3.0199,               0.001019,               0.001019,               0.001019
                      4,                 1.6586,                 2.5481,                  1.556,                0.58183,                0.07971,                0.02999,                0.01118,                  2.706,                  5.381,                 2.9007,              0.0012648,              0.0012648,              0.0012648
                      5,                 1.7241,                  2.459,                 1.5462,                 0.3447,                0.29552,                0.19701,                0.08831,                 2.0675,                 3.9115,                 2.1177,              0.0015053,              0.0015053,              0.0015053
                      6,                 1.7263,                 2.4674,                 1.5785,                0.22564,                0.44667,                0.24592,                0.09986,                 1.8971,                 3.1254,                 1.7864,               0.001568,               0.001568,               0.001568
                      7,                 1.6388,                  2.268,                 1.5135,                 0.2181,                0.42935,                0.18667,                0.07887,                 1.9028,                 3.7993,                 1.8797,               0.001568,               0.001568,               0.001568
                      8,                 1.6081,                 2.1572,                 1.4934,                0.29684,                 0.4863,                0.29038,                0.14002,                 1.6782,                 3.6174,                 1.6657,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.5294,                 2.0926,                 1.4483,                0.35312,                 0.4178,                 0.3452,                0.16098,                 1.7112,                 2.6769,                 1.5917,               0.001535,               0.001535,               0.001535
                     10,                 1.5007,                   1.97,                 1.4047,                0.31091,                0.53148,                0.29116,                0.12925,                 1.8011,                 2.8495,                 1.8121,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.4823,                  1.937,                 1.4131,                0.39959,                0.19518,                0.17032,                0.08485,                 2.0627,                 3.5271,                 2.0645,               0.001502,               0.001502,               0.001502
