                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2106,                 3.7915,                 2.0074,                0.00497,                0.69599,                0.07864,                0.03507,                 1.7921,                 3.6415,                 1.8262,             0.00025005,             0.00025005,             0.00025005
                      1,                 1.7253,                  2.833,                  1.596,                0.00563,                0.78691,                0.12147,                 0.0512,                 1.9596,                 3.4985,                 1.9774,             0.00050654,             0.00050654,             0.00050654
                      2,                 1.7023,                 2.7583,                 1.5892,                0.05054,                0.52536,                0.15805,                 0.0727,                 1.9472,                 3.2377,                 1.9406,             0.00075246,             0.00075246,             0.00075246
                      3,                 1.7205,                 2.6555,                 1.5848,                0.22511,                0.28397,                0.20922,                0.09545,                 1.8649,                 2.7096,                 1.6815,             0.00098783,             0.00098783,             0.00098783
                      4,                 1.6243,                 2.4962,                 1.5144,                0.23125,                0.25204,                0.17125,                0.08496,                 1.9207,                 2.9032,                 1.6895,              0.0012126,              0.0012126,              0.0012126
                      5,                  1.677,                 2.3988,                 1.5507,                0.27447,                0.37024,                0.17694,                0.06801,                 2.0564,                 3.0953,                 1.8963,              0.0014269,              0.0014269,              0.0014269
                      6,                  1.658,                 2.3641,                 1.5146,                0.52644,                0.29814,                0.33112,                0.15361,                 1.7551,                   2.98,                 1.6193,               0.001469,               0.001469,               0.001469
                      7,                 1.5973,                 2.1923,                 1.4469,                0.36416,                0.42121,                 0.3172,                0.12701,                  1.876,                 3.1456,                 1.7039,               0.001469,               0.001469,               0.001469
                      8,                 1.5287,                 2.0486,                 1.4128,                0.35328,                0.36696,                0.26415,                0.13394,                 1.6636,                 2.9774,                 1.5827,               0.001436,               0.001436,               0.001436
                      9,                 1.5019,                   1.96,                 1.3922,                0.33763,                0.22803,                0.14717,                0.08672,                 1.8258,                 3.0671,                 1.8188,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.4795,                 1.9073,                 1.3729,                 0.3197,                0.27136,                 0.2178,                0.10262,                 1.9509,                 2.7049,                 1.6913,              0.0013699,              0.0013699,              0.0013699
                     11,                 1.4403,                 1.8568,                 1.3552,                0.34476,                0.37692,                0.21535,                0.10688,                 1.8704,                 3.6223,                 1.6681,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.4228,                 1.7407,                 1.3252,                0.41475,                0.52355,                0.40484,                0.19745,                 1.6215,                 2.2826,                 1.4949,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.4169,                 1.7653,                 1.3269,                0.66529,                0.43079,                0.54329,                0.31283,                 1.5073,                  1.871,                 1.3802,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.4257,                 1.6718,                 1.3195,                0.51773,                 0.6816,                0.60376,                0.34504,                 1.3997,                 1.7493,                 1.3425,              0.0012379,              0.0012379,              0.0012379
                     15,                 1.3191,                  1.625,                  1.262,                0.58213,                0.61515,                0.60248,                 0.3502,                 1.4394,                  1.665,                 1.3246,              0.0012049,              0.0012049,              0.0012049
                     16,                 1.2829,                 1.4904,                  1.232,                0.58446,                0.57722,                0.63985,                0.38143,                 1.4192,                 1.6337,                 1.3365,              0.0011719,              0.0011719,              0.0011719
                     17,                 1.2481,                  1.497,                 1.2391,                0.68183,                 0.7168,                0.72924,                0.44141,                 1.3541,                 1.4042,                 1.3412,              0.0011389,              0.0011389,              0.0011389
                     18,                 1.1984,                 1.4212,                 1.2145,                0.75723,                 0.5151,                 0.6848,                0.42824,                 1.2851,                 1.4782,                 1.2896,              0.0011059,              0.0011059,              0.0011059
