                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0184,                 4.0735,                 1.9332,                0.00587,                0.82099,                0.12465,                0.05343,                 1.5704,                 3.4332,                 1.6317,             0.00025005,             0.00025005,             0.00025005
                      1,                 1.6637,                 3.1333,                 1.6201,                0.00575,                0.80423,                0.18183,                0.09327,                 1.5876,                 3.4103,                 1.6182,             0.00046561,             0.00046561,             0.00046561
                      2,                 1.6035,                 3.0104,                 1.5568,                 0.9018,                0.06405,                0.25088,                 0.1238,                 1.7183,                  3.205,                 1.6783,             0.00062836,             0.00062836,             0.00062836
                      3,                 1.6276,                 2.9249,                 1.5788,                0.88664,                0.03906,                0.18958,                0.09374,                 1.7279,                 3.1589,                 1.6439,              0.0007383,              0.0007383,              0.0007383
                      4,                 1.5999,                 2.7798,                   1.48,                0.51741,                 0.3168,                0.33629,                0.17016,                 1.6048,                 2.7493,                 1.5319,             0.00079543,             0.00079543,             0.00079543
                      5,                  1.522,                 2.6034,                 1.4618,                0.37058,                0.26954,                0.33145,                0.16868,                   1.66,                 2.5882,                 1.5204,             0.00079974,             0.00079974,             0.00079974
                      6,                 1.4288,                 2.4338,                 1.3712,                0.46084,                 0.5096,                0.44774,                0.25014,                 1.4845,                 2.2007,                 1.3471,              0.0006768,              0.0006768,              0.0006768
                      7,                 1.4123,                 2.2703,                   1.31,                0.37146,                0.55322,                0.40373,                0.23354,                 1.3801,                 2.1556,                 1.2824,              0.0006768,              0.0006768,              0.0006768
                      8,                 1.3314,                 2.1698,                 1.2524,                0.63419,                0.51278,                0.56422,                0.31191,                  1.347,                 1.9554,                 1.2231,             0.00051177,             0.00051177,             0.00051177
                      9,                 1.2142,                 2.0343,                 1.1837,                0.61782,                0.55378,                0.58411,                0.35275,                 1.2557,                 1.8238,                 1.1814,             0.00034674,             0.00034674,             0.00034674
