                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1293,                 3.7002,                 7.7951,                  2.319,                0.00648,                0.82727,                0.05743,                0.01664,                0.00082,                0.11212,                0.00115,                0.00021,                 2.0547,                 1.9319,                 6.9172,                 3.2229,             0.00021671,             0.00021671,             0.00021671
                      1,                 1.5597,                  1.162,                  6.001,                  1.904,                0.00576,                0.82828,                0.10287,                0.04443,                0.00557,                0.80202,                0.11698,                0.03877,                 1.8577,                0.75435,                 6.6545,                  2.824,             0.00044372,             0.00044372,             0.00044372
                      2,                 1.5642,                 1.0356,                   5.61,                 1.8187,                0.00655,                0.85354,                0.06923,                0.02489,                0.00525,                0.66313,                0.08374,                0.02117,                 1.9867,                0.91433,                 6.7347,                 2.7371,             0.00066414,             0.00066414,             0.00066414
                      3,                 1.5879,                0.91554,                 5.3096,                  1.826,                0.08656,                0.24949,                0.07989,                0.02794,                0.12265,                0.10606,                0.07407,                0.02203,                 2.0776,                 1.0969,                 6.3275,                 2.7512,             0.00087795,             0.00087795,             0.00087795
                      4,                 1.5425,                0.97591,                 4.8376,                 1.7921,                0.13091,                0.15455,                0.11194,                0.04229,                0.15883,                0.18081,                0.13015,                 0.0421,                 1.8563,                 1.3197,                 5.3216,                 2.4536,              0.0010852,              0.0010852,              0.0010852
                      5,                 1.4678,                 1.0331,                 4.6005,                 1.6637,                 0.0685,                0.16667,                0.07254,                0.02618,                0.06911,                0.15909,                 0.0857,                0.03228,                 2.2758,                0.94952,                 5.7112,                 3.2505,              0.0012858,              0.0012858,              0.0012858
                      6,                  1.586,                0.98496,                 4.4741,                 1.7063,                0.07765,                0.15505,                0.09842,                 0.0337,                 0.1253,                0.10606,                0.11589,                0.04111,                 2.1001,                0.75425,                 6.6292,                 3.0427,              0.0014798,              0.0014798,              0.0014798
                      7,                 1.4617,                0.85837,                 4.3272,                 1.6525,                0.15271,                0.36212,                0.14122,                0.06312,                0.19444,                0.34614,                0.13033,                0.04984,                 1.9347,                 1.5341,                 5.4059,                 2.5327,               0.001502,               0.001502,               0.001502
                      8,                  1.492,                0.81875,                 3.8834,                 1.6381,                 0.2939,                0.44055,                0.19347,                0.06771,                0.17217,                0.49444,                0.19373,                 0.0684,                 2.0043,                0.82515,                 6.3197,                 2.6499,               0.001502,               0.001502,               0.001502
                      9,                 1.4573,                0.88091,                 3.5807,                  1.608,                0.10291,                0.32626,                0.08437,                0.03193,                0.16576,                0.24085,                 0.1236,                0.03294,                 2.4604,                0.74718,                 8.3739,                 3.0923,              0.0014784,              0.0014784,              0.0014784
