                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1128,                 3.1973,                 3.9214,                 1.9146,                0.00599,                0.87929,                0.09507,                0.03609,                 0.0027,                0.38586,                0.02087,                 0.0033,                 1.7042,                  1.147,                 3.5276,                 1.8533,             0.00021671,             0.00021671,             0.00021671
                      1,                 1.5595,                 1.2642,                 2.8176,                 1.4007,                0.00587,                0.85758,                0.14629,                0.07541,                0.00471,                0.66061,                0.09523,                0.02624,                 1.5889,                0.89376,                 3.2769,                 1.6253,             0.00044563,             0.00044563,             0.00044563
                      2,                 1.5681,                 1.0974,                 2.6419,                 1.4335,                0.00589,                0.87222,                0.11435,                0.04967,                0.00433,                0.61263,                0.10169,                0.02162,                 1.7248,                0.83261,                 3.3175,                 1.7913,             0.00066994,             0.00066994,             0.00066994
                      3,                 1.5146,                 1.0111,                 2.5199,                  1.386,                 0.0049,                0.58131,                0.10547,                0.04452,                0.01262,                0.46667,                0.08084,                0.01649,                  1.862,                0.95486,                  3.357,                 1.9105,             0.00088962,             0.00088962,             0.00088962
                      4,                 1.5532,                 1.0683,                 2.4019,                  1.412,                0.22743,                 0.1024,                0.12597,                0.05488,                0.21291,                0.09293,                0.11497,                0.03868,                 1.7369,                0.88828,                 3.1835,                 1.7639,              0.0011047,              0.0011047,              0.0011047
                      5,                 1.5451,                 1.0919,                 2.3369,                 1.3932,                0.18168,                0.19141,                0.08119,                0.03183,                0.10587,                0.12727,                0.04585,                0.01287,                 2.0978,                0.95079,                 3.3596,                 2.0673,              0.0013151,              0.0013151,              0.0013151
                      6,                 1.5192,                  1.055,                 2.1763,                 1.3679,                0.26093,                 0.3995,                0.23738,                0.11262,                0.31652,                 0.1798,                0.13038,                0.04574,                 1.7986,                0.78645,                 2.8162,                 1.7145,              0.0015209,              0.0015209,              0.0015209
                      7,                 1.4706,                0.98361,                 2.1349,                 1.3324,                 0.3062,                0.35859,                0.24005,                0.10891,                 0.2961,                0.31818,                0.17743,                0.05726,                 1.9323,                0.77244,                 2.8289,                 1.8311,              0.0015515,              0.0015515,              0.0015515
                      8,                 1.4559,                0.94903,                 1.9913,                 1.3306,                0.24288,                0.35253,                0.18162,                0.07772,                 0.2444,                0.33384,                0.17929,                0.05075,                 1.8742,                 0.8667,                 4.1005,                 1.7651,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.3554,                 1.0245,                 1.9022,                 1.2354,                0.48857,                0.38788,                0.37955,                0.19887,                0.35234,                0.30152,                 0.2228,                0.05405,                 1.6239,                0.76864,                 2.6663,                 1.5551,               0.001535,               0.001535,               0.001535
                     10,                 1.3994,                0.95284,                  1.815,                 1.2703,                0.60265,                0.34192,                0.40758,                0.22926,                0.46515,                 0.2904,                0.30286,                0.08227,                 1.6115,                0.68281,                 2.3184,                 1.5803,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.3469,                0.94842,                 1.8116,                  1.251,                0.68845,                0.43003,                0.49032,                0.27109,                0.44507,                0.31362,                0.25977,                0.06909,                 1.4155,                0.67613,                 2.3361,                 1.4269,               0.001502,               0.001502,               0.001502
