                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1109,                 3.0084,                 3.9255,                  1.917,                0.00585,                0.86061,                0.08934,                0.03864,                0.00475,                0.68889,                0.09124,                0.02215,                 1.6838,                 1.0622,                 3.5339,                 1.8407,             0.00021671,             0.00021671,             0.00021671
                      1,                 1.5201,                 1.1657,                 2.7945,                 1.3927,                0.00617,                0.90202,                0.13421,                 0.0606,                0.00592,                0.86465,                0.16091,                0.06278,                 1.7055,                0.84631,                 3.3632,                 1.7535,             0.00043524,             0.00043524,             0.00043524
                      2,                  1.537,                 1.0373,                 2.6164,                 1.4157,                0.12115,                0.33434,                0.14225,                0.07074,                  0.131,                0.36465,                0.17637,                0.07424,                 1.6921,                0.73713,                   3.23,                 1.7262,             0.00063836,             0.00063836,             0.00063836
                      3,                 1.5206,                   1.01,                 2.5477,                 1.3851,                0.30757,                0.12828,                0.09239,                0.03449,                0.19689,                0.11717,                0.08477,                0.02692,                 1.7771,                 1.0161,                 3.2627,                 1.9572,             0.00082608,             0.00082608,             0.00082608
                      4,                 1.5106,                 1.0446,                 2.3743,                 1.3833,                0.36594,                0.17677,                0.23605,                0.11073,                0.40043,                0.17677,                0.22856,                0.07841,                 1.7688,                 1.1811,                 3.0974,                 1.7643,              0.0009984,              0.0009984,              0.0009984
                      5,                 1.5076,                 1.0513,                  2.301,                 1.3516,                 0.3219,                0.30165,                0.27829,                0.12093,                0.30916,                0.21414,                0.19977,                0.07222,                 1.6111,                0.81341,                 2.7712,                 1.6065,              0.0011553,              0.0011553,              0.0011553
                      6,                 1.4542,                 1.0029,                 2.1997,                 1.3338,                0.32089,                0.36263,                0.26437,                0.12041,                0.35647,                0.38535,                0.28409,                0.11495,                 1.6218,                 0.6931,                 2.7022,                 1.5869,              0.0012968,              0.0012968,              0.0012968
                      7,                 1.4159,                0.96451,                 2.1368,                 1.2932,                0.41095,                0.37999,                0.37245,                 0.1765,                0.51012,                0.39192,                0.40664,                0.16457,                 1.7178,                0.64695,                 2.4566,                 1.6092,              0.0012819,              0.0012819,              0.0012819
                      8,                  1.392,                0.89735,                 1.9665,                 1.2688,                 0.4303,                0.35217,                0.32671,                0.16104,                0.36592,                0.41162,                0.36579,                0.16763,                 1.7701,                 0.6534,                 2.4788,                 1.6505,              0.0012819,              0.0012819,              0.0012819
                      9,                 1.3702,                0.89752,                 1.8797,                 1.2407,                0.46312,                0.44495,                0.45553,                0.23033,                0.49302,                0.46364,                0.47195,                0.22442,                 1.6268,                0.66119,                 2.1779,                 1.4641,              0.0012269,              0.0012269,              0.0012269
                     10,                 1.3307,                0.89533,                 1.8109,                 1.2172,                0.30417,                0.45455,                0.32344,                0.15626,                 0.3834,                0.55277,                0.41708,                0.18705,                 1.6111,                0.65858,                 2.3151,                 1.5587,              0.0011719,              0.0011719,              0.0011719
                     11,                 1.2728,                0.88279,                 1.7552,                 1.1998,                0.43504,                0.34343,                0.27635,                 0.1302,                 0.5246,                0.43636,                 0.3947,                0.17535,                 1.7417,                0.64957,                 2.9179,                 1.6416,              0.0011169,              0.0011169,              0.0011169
                     12,                 1.1656,                0.86227,                  1.559,                  1.127,                0.38199,                0.59798,                0.47597,                0.25819,                0.44408,                0.64949,                0.53944,                0.24104,                 1.4259,                0.60044,                 2.1064,                 1.3502,              0.0010619,              0.0010619,              0.0010619
                     13,                 1.2529,                0.83312,                 1.5939,                 1.1566,                0.37343,                0.51802,                0.41366,                0.22117,                0.62973,                0.36953,                0.44619,                0.21721,                 1.4101,                0.60638,                 2.2363,                 1.4146,              0.0010069,              0.0010069,              0.0010069
                     14,                 1.1612,                0.75529,                 1.4925,                 1.1184,                0.49588,                0.59442,                0.54533,                0.32447,                0.50656,                 0.6073,                0.56951,                 0.2952,                 1.2853,                0.53139,                 1.7854,                 1.3361,             0.00095186,             0.00095186,             0.00095186
                     15,                 1.1724,                0.82439,                 1.4383,                 1.1323,                 0.5827,                 0.5661,                0.57849,                0.35667,                0.51802,                0.71162,                0.62122,                0.32844,                  1.171,                0.50635,                 1.6114,                 1.1964,             0.00089685,             0.00089685,             0.00089685
                     16,                  1.071,                0.74634,                  1.333,                 1.0756,                0.57561,                0.66177,                 0.6548,                0.43334,                0.75552,                0.58081,                0.69867,                0.38601,                 1.1165,                0.50206,                   1.58,                 1.1696,             0.00084184,             0.00084184,             0.00084184
                     17,                  1.102,                0.81947,                 1.3008,                 1.0953,                0.68852,                0.71566,                0.70865,                0.45786,                0.71609,                0.73456,                0.73479,                0.40973,                 1.1309,                0.49433,                 1.6314,                 1.1718,             0.00078682,             0.00078682,             0.00078682
                     18,                 1.0198,                0.78266,                 1.2576,                  1.057,                0.66119,                0.67424,                0.67612,                0.43709,                0.69855,                0.68182,                0.71024,                0.38153,                 1.1104,                0.48268,                 1.6035,                 1.1558,             0.00073181,             0.00073181,             0.00073181
                     19,                0.98258,                0.74875,                  1.195,                 1.0354,                0.75567,                0.78232,                0.77955,                  0.534,                0.75432,                 0.7495,                0.75641,                0.43536,                 1.0069,                0.50041,                 1.3203,                 1.1051,              0.0006768,              0.0006768,              0.0006768
                     20,                 0.9867,                0.69061,                 1.4002,                  1.055,                0.67587,                0.67628,                0.69029,                 0.4937,                0.67587,                0.67628,                0.69649,                0.38522,                0.99864,                0.51141,                 1.6478,                 1.1135,             0.00062179,             0.00062179,             0.00062179
                     21,                0.97098,                0.69749,                 1.3925,                 1.0347,                0.75744,                0.79394,                0.82876,                0.59362,                0.77449,                0.81263,                0.84695,                0.45371,                 1.0201,                0.50494,                 1.2583,                 1.1017,             0.00056678,             0.00056678,             0.00056678
                     22,                0.98376,                0.66359,                 1.2976,                 1.0481,                0.80484,                 0.7269,                0.85274,                0.58077,                0.82168,                 0.7518,                0.86136,                 0.4717,                 1.0211,                0.48306,                 1.2261,                 1.1139,             0.00051177,             0.00051177,             0.00051177
                     23,                0.94746,                0.62966,                 1.2806,                 1.0204,                 0.8049,                0.79394,                0.82011,                0.55755,                0.81088,                0.79394,                0.81153,                0.44603,                 1.0621,                 0.4881,                 1.1813,                 1.1614,             0.00045676,             0.00045676,             0.00045676
                     24,                0.98049,                0.65361,                 1.3472,                 1.0198,                0.79105,                0.89192,                0.88834,                0.63456,                0.79047,                0.89192,                0.88891,                0.50644,                0.94983,                0.44977,                 1.0718,                 1.1049,             0.00040175,             0.00040175,             0.00040175
                     25,                0.89377,                0.60742,                 1.1923,                 1.0074,                0.82017,                0.82713,                0.85602,                0.62053,                0.82017,                0.82713,                0.85386,                0.50001,                0.90399,                0.44612,                 1.1155,                 1.0718,             0.00034674,             0.00034674,             0.00034674
                     26,                0.82568,                0.56585,                 1.1409,                0.97015,                0.80422,                0.80894,                0.86763,                0.63332,                0.82896,                0.79135,                0.86873,                0.50892,                0.86084,                 0.4506,                 1.1425,                 1.0284,             0.00029172,             0.00029172,             0.00029172
                     27,                0.81831,                0.56126,                 1.1256,                0.96928,                0.76973,                0.89444,                0.88143,                0.67492,                 0.7685,                 0.8743,                0.88308,                0.50895,                0.80908,                0.44362,                 1.0127,                 1.0027,             0.00023671,             0.00023671,             0.00023671
                     28,                 0.7606,                0.55188,                 1.0652,                0.93714,                0.76374,                0.86305,                0.86657,                0.67954,                0.76377,                0.87196,                0.87372,                0.51372,                0.77425,                 0.4383,                 1.0123,                0.98824,              0.0001817,              0.0001817,              0.0001817
                     29,                0.75062,                0.57482,                 1.0032,                0.94461,                0.82821,                  0.832,                0.86828,                0.67312,                0.84503,                0.81647,                0.87688,                0.52416,                0.77447,                0.42965,                 1.0087,                0.99494,             0.00012669,             0.00012669,             0.00012669
